EN,DDN
"and Jacob begat Joseph the husband of Mary, of whom was born Jesus, who is called Christ.","Yɑkɔfu mo nɑ Yosɛfu hɛi, Mɑriɑmɑ kunye no. Mɑriɑmɑ nɑ Yesu hɛi, ngɑ kɑ ǹ nɑ ɑ̀ cɛɛ Mɛsiyɑ."
So all the generations from Abraham unto David are fourteen generations; and from David unto the carrying away to Babylon fourteen generations; and from the carrying away to Babylon unto the Christ fourteen generations.,"Cɛɛ kɑ cɛɛ yom di kulu zɑ Abulɛmɑ gɑɑ kɑlɑ Dɑfidi gɑɑ, ǹ kulu cɛɛ wei cindi tɑɑci no. Zɑ Dɑfidi mo gɑɑ kɑlɑ sɑɑ kɑ ǹ nɑ ǹ dii kɑ kpeindei Bɑbiloni lɑɑbu di, cɛɛ wei cindi tɑɑci no. Zɑ ǹ kpeindei Bɑbiloni lɑɑbu di mo kɑlɑ Mɛsiyɑ gɑɑ cɛɛ wei cindi tɑɑci no."
"Now the birth of Jesus Christ was on this wise: When his mother Mary had been betrothed to Joseph, before they came together she was found with child of the Holy Spirit.",Yesu Mɛsiyɑ hɛiyom zɑngɑ ɑ̀ tɛ ndɑ neyɑ. À nyɑ Mɑriɑmɑ yɑ Yosɛfu hundiyo no. Hɑli ǹ meigu cɔfɔ Biyɑ Hɑlɑɑlɑ nɑ gunde dɑm Mɑriɑmɑ gɑɑ.
"And Joseph her husband, being a righteous man, and not willing to make her a public example, was minded to put her away privily.",Ammɑ ɑ̀ sɔgɔ Yosɛfu ci bɔrɔ cɛɑntɛ susu. À si bɑɑ ngɑ mɑ ɑ̀ hɑwɑndi. À go miilɑ ngɑ mɑ ɑ̀ fee tugu kunɑ.
"But when he thought on these things, behold, an angel of the Lord appeared unto him in a dream, saying, Joseph, thou son of David, fear not to take unto thee Mary thy wife: for that which is conceived in her is of the Holy Spirit.","Kɑ ɑ̀ go hɛ nge yom di lɑsɑbu tɛ, cɔfɔ Kpe ŋmɔne dɔntɔneize fɔ hunutɛrɛ ɑ̀ sɛ hɑndiri kunɑ. À cii: Yosɛfu, Dɑfidi ize, si hɑmburu ndɑ n hundiyo Mɑriɑmɑ zɑɑyom ɑ̀ mɑ ci n wɛndɛ. N mɑ si hɑmburu zɑmɑ hɛ kɑ ǹ dɑm ɑ̀ gɑɑ, Biyɑ Hɑlɑɑlɑ yɑ nɑ ɑ̀ dɑm."
And she shall bring forth a son; and thou shalt call his name JESUS; for it is he that shall save his people from their sins.,À kɑɑ koo hɑibɔrɔ fɔ hɛi. Ǹ gɑ ɑ̀ mɑɑ no Yesu zɑmɑ ngɑ yɑ gɑ ngɑ jɑmɑ fɑɑbɑ ndɑ ǹ dulum yom.
"Now all this is come to pass, that it might be fulfilled which was spoken by the Lord through the prophet, saying,",Hɛ wɔ kulu tɛ mo no zɑmɑ hɛ kɑ Kpe cii ɑndebi gɑɑ mɑ tɔ sɛ.
"Behold, the virgin shall be with child, and shall bring forth a son, And they shall call his name Immanuel; which is, being interpreted, God with us.","Andebi di cii: “Gunɑ, hundiyo kɑ ɑ̀ si hɑru bei, ɑ̀ kɑɑ kunu. À bine kɑɑ koo hɑibɔrɔ fɔ hɛi. Ǹ gɑ ɑ̀ cɛɛ Emɑnuɛli.” À mɑɑ feeriji yɑ ci Ikpɛ goono i bɑndɑ."
"And Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took unto him his wife;","Kɑ Yosɛfu tunu ngɑ jiibi kunɑ, ɑ̀ tɛ zɑngɑ Ikpɛ dɔntɔneize di nɑ ɑ̀ no fɔndɔ kɑ ɑ̀ mɑ ngɑ hundiyɑ hiji."
and knew her not till she had brought forth a son: and he called his name JESUS.,Ammɑ Yosɛfu si ɑ̀ bei kɑlɑ ɑ̀ nɑ koo sintine hɛi. À nɑ ɑ̀ mɑɑ dɑm Yesu.
"Now when Jesus was born in Bethlehem of Judæa in the days of Herod the king, behold, Wise-men from the east came to Jerusalem, saying,",Ǹ nɑ Yesu hɛi Bɛtɛlɛm kpɑɑrɑ Yude lɑɑbu gɑndɑkpɛ Hirodu kpetɛrɛ wɑtɛ. Cɔfɔ beirekpɛ yom hunu zɑ weenuhune kɑ kɑɑ Yerusɑlɛm wɑngɑrɑ.
"Where is he that is born King of the Jews? for we saw his star in the east, and are come to worship him.",Ǹ cii: Mɑni Yuifu yom gɑndɑkpɛ di kɑ ǹ hɛi goono? I di ɑ̀ hɑndɑriyɑize weenuhune hɛrɛ. I kɑɑ kɑ ɑ̀ bɛɛrɑndi no.
"And when Herod the king heard it, he was troubled, and all Jerusalem with him.","Ammɑ kɑ Kpe Hirodu mɑɑ ngɑ di, bɑɑru di nɑ ɑ̀ butugu, ngɑ ndɑ Yerusɑlɛm kulu."
"And gathering together all the chief priests and scribes of the people, he inquired of them where the Christ should be born.",Cɔfɔ ɑ̀ nɑ gɑrɑndikɔ jinɑ yom meigu ndɑ Moisi fɔndɑ cooɑndikɔ yom kɑ ǹ hã nungu kɑ ɑ̀ himɑ ǹ mɑ Mɛsiyɑ hɛi.
"And they said unto him, In Bethlehem of Judæa: for thus it is written through the prophet,","Ǹ cii ɑ̀ sɛ: Bɛtɛlɛm kpɑɑrɑ Yude lɑɑbu zɑmɑ ɑndebi nɑ wɔne hɑntum kɑ cii,"
"And thou Bethlehem, land of Judah, Art in no wise least among the princes of Judah: For out of thee shall come forth a governor, Who shall be shepherd of my people Israel.","Ni Bɛtɛlɛm, Yude lɑɑbu n mɑnɑ ci Yude kpɑɑrɑ beeri yom ŋmɔne icɛnɑ. N kunɑ no meirekpɛ fɔ kɑɑ hunu. À gɑ ɑ̀ ŋmɔne Isirɑilɑ jɑmɑ kurum."
"Then Herod privily called the Wise-men, and learned of them exactly what time the star appeared.",Hirodu nɑ beirekpɛ yom cɛɛ tugu kunɑ kɑ ǹ hã cimi cimi lɔkɑci kɑ hɑndɑriyɑize di hunutɛrɛ.
"And he sent them to Bethlehem, and said, Go and search out exactly concerning the young child; and when ye have found him, bring me word, that I also may come and worship him.","À nɑ ǹ dɔntɔm Bɛtɛlɛm kpɑɑrɑ kɑ cii: Wɑ kpei hã ndɑ lɑɑkɑli kɑ simbɑ ndɑ koo di. De wom di ɑ̀, wɑ nɑm yɑ mɑɑ. Hɛɛ mo yɑ kpei kɑ ɑ̀ bɛɛrɑndi."
"And they, having heard the king, went their way; and lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.","Ngei mo kɑ ǹ mɑɑ kpe di sɛ, ǹ kpei. Cɔfɔ hɑndɑriyɑizɑ kɑ ǹ di weenuhune hɛrɛ, ɑ̀ go ǹ jine bɛɛnɛ kɑlɑ ɑ̀ kɑɑ cɛ nungu kɑ koo di goono."
"And when they saw the star, they rejoiced with exceeding great joy.","Sɑɑ kɑ ǹ di hɑndɑriyɑizɑ cɛ, ǹ fɑihã ndɑ binekɑɑne bɑmbɑtɑ."
"And they came into the house and saw the young child with Mary his mother; and they fell down and worshipped him; and opening their treasures they offered unto him gifts, gold and frankincense and myrrh.","Kɑ ǹ huro fuuɑ kunɑ, ǹ di koo di ndɑ ɑ̀ nyɑ Mɑriɑmɑ. Ǹ jɛndɛbiri kɑ ɑ̀ bɛɛrɑndi. À bɑndɑ ǹ nɑ ngei hɑibɑrikɑ feeri. Ǹ nɑ ɑ̀ no wurɑ ndɑ dugubi ndɑ wɑidi kɑɑnɔ kɑ ǹ cii ɑ̀ sɛ mire."
"And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.",Hɑndiri kunɑ Ikpɛ nɑ beirekpɛ yom kɑɑbɑɑru ǹ mɑ si ye Hirodu dɔ. Ǹ ye ngei lɑɑbu ndɑ fɔndɔ ŋmɑni fɔ.
"Now when they were departed, behold, an angel of the Lord appeareth to Joseph in a dream, saying, Arise and take the young child and his mother, and flee into Egypt, and be thou there until I tell thee: for Herod will seek the young child to destroy him.","Sɑɑ kɑ beirekpɛ yom di dirɑ, cɔfɔ Kpe ŋmɔne dɔntɔneize fɔ hunutɛrɛ Yosɛfu sɛ hɑndiri kunɑ. À cii: Tunu kɑ koo cɛnɑ di ndɑ ɑ̀ nyɑ zɑɑ kɑ zuuru ndei kɑ kpei Eziputu lɑɑbu. N mɑ gɔrɔ Eziputu lɑɑbu kɑlɑ yɑ cii n sɛ zɑmɑ Hirodu bɑ koo cɛnɑ di ceeci kɑ ɑ̀ wi."
"And he arose and took the young child and his mother by night, and departed into Egypt;",Yosɛfu mo tunu kɑ koo di ndɑ ɑ̀ nyɑ zɑɑ ciini kɑ kpei ndei Eziputu lɑɑbu.
"and was there until the death of Herod: that it might be fulfilled which was spoken by the Lord through the prophet, saying, Out of Egypt did I call my son.",Nungu di no ɑ̀ goono kɑlɑ Hirodu bu zɑmɑ hɛ kɑ Kpe cii ɑndebi gɑɑ mɑ tɔ sɛ. À cii: “A nɑ ɑ koo cɛɛ ɑ̀ mɑ hunu Eziputu lɑɑbu”.
"Then Herod, when he saw that he was mocked of the Wise-men, was exceeding wroth, and sent forth, and slew all the male children that were in Bethlehem, and in all the borders thereof, from two years old and under, according to the time which he had exactly learned of the Wise-men.","Kɑ Hirodu bei beirekpɛ yom di nɑ ngɑ zɑmbɑ, ɑ̀ bine tɔ hɑli ǹ ci mɔsɔ. Cɔfɔ ɑ̀ nɑ beerem dɑm ǹ mɑ koo hɑibɔrɔ yom kulu kɑ ǹ goono Bɛtɛlɛm kpɑɑrɑ ndɑ ɑ̀ hundɑntɛ kulu wi. Ǹ mɑ koo hɑibɔrɔ yom wi zɑ jiiri hinkɑ ize mee kɑ ye gɑndɑ ndɑ zɑngɑ ɑ̀ lɑsɑbu beirekpɛ yom di sendɑ bɔm."
"Then was fulfilled that which was spoken through Jeremiah the prophet, saying,","Bine, hɛ kɑ ɑndebi Yeremi cii mɑ tɔ, kɑ ɑ̀ cii:"
"A voice was heard in Ramah, Weeping and great mourning, Rachel weeping for her children; And she would not be comforted, because they are not.","“Ǹ mɑɑ jinde fɔ Lɑmɑ kpɑɑrɑ, bɛrɛɛ ndɑ hɛ̃ni ndɑ zɑlibɑ yom bɑmbɑtɑ. Lɑsɛli go hɛ̃ ngɑ koo yom sɛ. À mɑnɑ du suurɑndiyom zɑmɑ ɑ̀ koo yom bu.”"
"But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt, saying,","Ammɑ kɑ Hirodu bu, cɔfɔ Kpe ŋmɔne dɔntɔneize fɔ hunutɛrɛ Yosɛfu sɛ hɑndiri kunɑ Eziputu lɑɑbu."
"Arise and take the young child and his mother, and go into the land of Israel: for they are dead that sought the young child’s life.","À cii: Tunu kɑ koo di ndɑ ɑ̀ nyɑ zɑɑ kɑ kpeindei Isirɑilɑ lɑɑbu zɑmɑ beerem kɑ ǹ go koo cɛnɑ di hundi ceeci, ǹ bu."
"And he arose and took the young child and his mother, and came into the land of Israel.",Yosɛfu bine tunu kɑ koo cɛnɑ di ndɑ ɑ̀ nyɑ zɑɑ kɑ kɑɑ Isirɑilɑ lɑɑbu.
"But when he heard that Archelaus was reigning over Judæa in the room of his father Herod, he was afraid to go thither; and being warned of God in a dream, he withdrew into the parts of Galilee,","Ammɑ kɑ Yosɛfu mɑɑ ǹ cii Akelu go kpetɛrɛ ŋmɑɑ Yude lɑɑbu ɑ̀ bɑɑbɑ Hirodu guribi, ɑ̀ hɑmburu ngɑ mɑ kpei nungu di. Kɑ Ikpɛ nɑ ɑ̀ kɑɑbɑɑru hɑndiri kunɑ, ɑ̀ nɑ ngɑ bɔm cendi kɑ kpei Gɑlile lɑɑbu."
"and came and dwelt in a city called Nazareth; that it might be fulfilled which was spoken through the prophets, that he should be called a Nazarene.","À kɑɑ gɔrɔ kpɑɑrɑ fɔ kɑ ǹ cii ɑ̀ sɛ Nɑzɑrɛtu. À kɑɑ gɔrɔ Nɑzɑrɛtu zɑmɑ hɛ kɑ ǹ cii ɑndebi yom mee gɑɑ di mɑ tɔ sɛ kɑ ǹ cii: ""Ǹ gɑ ɑ̀ cɛɛ Nɑzɑrɛtu bɔrɔ”."
"And in those days cometh John the Baptist, preaching in the wilderness of Judæa, saying,","Hɑnu nge yom di gɑɑ, Mirɑndikɔ Yohɑnnɑ kɑɑ ko wɑɑzu Yude lɑɑbu gɑnji kunɑ."
Repent ye; for the kingdom of heaven is at hand.,À cii: Wɑ tuubi zɑmɑ bɛɛnɛ kpetɛrɛ mɑɑni.
"For this is he that was spoken of through Isaiah the prophet, saying, The voice of one crying in the wilderness, Make ye ready the way of the Lord, Make his paths straight.",Yohɑnnɑ yɑ ci ngɑ kɑ ɑndebi Esɑyi nɑ ɑ̀ sendi tɛ kɑ cii: Bɔrɔ fɔ go kuwɑ gɑnji kunɑ. À jinde cii: Wom mɑ Kpe fɔndɔ sɔlu. Wom mɑ ɑ̀ fɔndɔize yom cɛɑndi.
"Now John himself had his raiment of camel’s hair, and a leathern girdle about his loins; and his food was locusts and wild honey.",Yohɑnnɑ bumbum go yoo hɑmini kpɛ dɑm ndɑ kunɑcendi kuuru ŋmɔne ngɑ cɛntɛ gɑɑ. À ŋmɑɑri yɑ ci doo ndɑ gɑnji yu.
"Then went out unto him Jerusalem, and all Judæa, and all the region round about the Jordan;","Bine, Yerusɑlɛm wɑngɑrɑ bɔrɔ yom ndɑ Yude lɑɑbu kulu bɔrɔ yom ndɑ lɑɑbu yom kulu kɑ ǹ go mɑɑni Yudum isɑ gɑɑ, ǹ kulu hunu kɑ kpei ɑ̀ dɔ."
"and they were baptized of him in the river Jordan, confessing their sins.",À nɑ ǹ mirɑndi Yudum isɑ kunɑ kɑ ǹ nɑ ngei dulum yom cii.
"But when he saw many of the Pharisees and Sadducees coming to his baptism, he said unto them, Ye offspring of vipers, who warned you to flee from the wrath to come?","Ammɑ ɑ̀ di Fɑrisi fɔndɔ bɔrɔ boobo ndɑ Sɑdusi fɔndɔ bɔrɔ yom go kɑɑ ngɑ mirɑndiyomɑ dɔ. À cii ǹ sɛ: Gɑzɑmɑ dimi yom, mee yɑ nɑ wom kɑɑbɑɑru wom mɑ zuuru binetɔnɛ kɑ ɑ̀ go kɑɑ sɛ?"
Bring forth therefore fruit worthy of repentance:,Ngɑ di sɛ wɑ wom tɛgbei cɛbɛ kɑ ɑ̀ sɑbɑ ndɑ tuubiyom.
"and think not to say within yourselves, We have Abraham to our father: for I say unto you, that God is able of these stones to raise up children unto Abraham.",Wom bumbum mɑ si lɑsɑbu kɑ cii: I gundɑ i bɑɑbɑ Abulɛmɑ. A go cii wom sɛ kɑ Ikpɛ hini kɑ tondi yom wɔ bɛrɛ kɑ tɛ ize yom Abulɛmɑ sɛ.
"And even now the axe lieth at the root of the trees: every tree therefore that bringeth not forth good fruit is hewn down, and cast into the fire.","Ǹ bine nɑ deesi dɑm tuurinyɑ yom kɑɑji gɑɑ kɔ. Ngɑ di sɛ tuurinyɑ kulu kɑ ɑ̀ si ize hinno hɛi, ǹ go kɑ ɑ̀ dumbu no kɑ ɑ̀ tɔnu."
"I indeed baptize you in water unto repentance: but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you in the Holy Spirit and in fire:","Hɛɛ wɔ, ɑ go wom mirɑndi ndɑ hɑri tuubiyom sɑbu sɛ. Ammɑ bɔrɔ kɑ ɑ̀ go kɑɑ ɑ bɑndɑ ɑ̀ bisɑ hɛɛ gɑɑbi. Yɑ nɑ tɔ yɑ ɑ̀ tɑɑmu yom zɑɑ. Ngɑ wɔ, ɑ̀ kɑɑ wom mirɑndi no ndɑ Biyɑ Hɑlɑɑlɑ ndɑ nini mo."
"whose fan is in his hand, and he will thoroughly cleanse his threshing-floor; and he will gather his wheat into the garner, but the chaff he will burn up with unquenchable fire.","À funsu gɑɑsu goono ɑ̀ kɑmbɛ. À gɑ ngɑ fɑruyom dɔ hinnɑndi sã sã kɑ ngɑ mɔsɔngu dɑm boo. Ammɑ duuɑ wɔ, ɑ̀ gɑ ɑ̀ tɔnu ndɑ nini kɑ ɑ̀ si wi."
"Then cometh Jesus from Galilee to the Jordan unto John, to be baptized of him.","Sɑɑ di no Yesu hunu zɑ Gɑlile kɑ kɑɑ Yudum isɑ Yohɑnnɑ dɔ, ɑ̀ mɑ ngɑ mirɑndi."
"But John would have hindered him, saying, I have need to be baptized of thee, and comest thou to me?","Ammɑ Yohɑnnɑ go hungu ɑ̀ sɛ ndɑ gɑɑbi kɑ cii: Hɛɛ wɔ ɑ̀ himɑ ni, n mɑ ɑ mirɑndi, cɔfɔ n kɑɑ ɑ dɔ?"
"But Jesus answering said unto him, Suffer it now: for thus it becometh us to fulfil all righteousness. Then he suffereth him.",Yesu tu ɑ̀ sɛ kɑ cii: Nɑm ɑ̀ mɑ tɛ mɑɑsɑ zɑmɑ yɑ no ǹ nɑ ɑ̀ sɑsɑbɑndi i sɛ kɑ i mɑ cɛyom susu kulu tɔnɑndi. Yohɑnnɑ mɑnɑ hungu ɑ̀ sɛ kpɛɛnɛ.
"And Jesus, when he was baptized, went up straightway from the water: and lo, the heavens were opened unto him, and he saw the Spirit of God descending as a dove, and coming upon him;","Kɑ Yohɑnnɑ nɑ Yesu mirɑndi, ɑ̀ hunu mɑɑsɑ mɑɑsɑ hɑri di kunɑ. Cɔfɔ bɛɛnɛ feeri ɑ̀ sɛ. À di Ikpɛ Biyɑ go zumbu kɑ sɔm ngɑ bɔm zɑngɑ gutu."
"and lo, a voice out of the heavens, saying, This is my beloved Son, in whom I am well pleased.",Cɔfɔ jinde fɔ mo hunu zɑ bɛɛnɛ kɑ cii: Wɔne yɑ ci ɑ Ize Binegɑnji kɑ ɑ̀ gɑɑ ɑ du binekɑɑne.
Then was Jesus led up of the Spirit into the wilderness to be tempted of the devil.,À bɑndɑ Biyɑ Hɑlɑɑlɑ nɑ Yesu boi ko kpeindɑɑ̀ gɑnji kunɑ Ibilisi mɑ ɑ̀ sui.
"And when he had fasted forty days and forty nights, he afterward hungered.",À meehɔ zɑɑ jiribi weitɑɑci ndɑ ciini weitɑɑci. Ngɑ di bɑndɑ ɑ̀ mɑɑ hɛrɛɛ.
"And the tempter came and said unto him, If thou art the Son of God, command that these stones become bread.","Suikɔ mɑɑni ɑ̀ dɔ kɑ cii: De ni Ikpɛ Ize no, cii tondi yom wɔ mɑ bɛrɛ buuru."
"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.","Ammɑ Yesu tu ɑ̀ sɛ kɑ cii: Ikpɛ Sendi hɑntumɑntɛ go cii, “Bɔrɔ si hunɑ ndɑ ŋmɑɑri hinne ɑmmɑ ndɑ sendi kulu kɑ ɑ̀ go hunu Ikpɛ mee kunɑ”."
"Then the devil taketh him into the holy city; and he set him on the pinnacle of the temple,",Ibilisi bine kpeindɑ Yesu wɑngɑrɑ hɑlɑɑlɑ kunɑ kɑ ɑ̀ dɑm Ikpɛ bɛɛrɑndiyom dɔ yɔlɔ bɔm.
"and saith unto him, If thou art the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and, On their hands they shall bear thee up, Lest haply thou dash thy foot against a stone.","À cii ɑ̀ sɛ: De ni Ikpɛ Ize no, ǹ mɑ zimbi gɑndɑ zɑmɑ Ikpɛ Sendi hɑntumɑntɛ go cii: Ikpɛ gɑ ngɑ dɔntɔneize yom no fɔndɔ kɑ simbɑ ni. Ǹ gɑ n tɛmbɛ ngei kɑmbɛ yom kunɑ n cee mɑ si sɑm tondi gɑɑ."
"Jesus said unto him, Again it is written, Thou shalt not make trial of the Lord thy God.","Yesu cii ɑ̀ sɛ: Ikpɛ Sendi hɑntumɑntɛ go cii kpɛɛnɛ, ""N mɑ si Ikpɛ n ŋmɔne Kpe sui”."
"Again, the devil taketh him unto an exceeding high mountain, and showeth him all the kingdoms of the world, and the glory of them;",Ibilisi kpeindɑ Yesu tondi kuku fɔ bɔm kpɛɛnɛ kɑ ɑ̀ cɛbɛ hɑndunyɑ kpetɛrɛ yom kulu ndɑ ǹ deizɑ.
"and he said unto him, All these things will I give thee, if thou wilt fall down and worship me.",À cii ɑ̀ sɛ: A gɑ n no hɛ yom wɔ kulu de n go jɛndɛbiri ɑ sɛ kɑ ɑ bɛɛrɑndi.
"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.","Yesu bine cii ɑ̀ sɛ: Kpei, Setɑm. Ikpɛ Sendi hɑntumɑntɛ go cii: “N mɑ Kpe n ŋmɔne Ikpɛ bɛɛrɑndi kɑ tɑmtɛrɛ ngɑ hinne sɛ”."
"Then the devil leaveth him; and behold, angels came and ministered unto him.",Ibilisi bine nɑ ɑ̀ nɑm. Cɔfɔ Ikpɛ dɔntɔneize yom di mɑɑni kɑ ɑ̀ sɑjo.
"Now when he heard that John was delivered up, he withdrew into Galilee;","Kɑ Yesu mɑɑ ǹ cii ǹ nɑ Yohɑnnɑ dɑm kɑsu, ɑ̀ nɑ ngɑ bɔm cendi kɑ kpei Gɑlile lɑɑbu."
"and leaving Nazareth, he came and dwelt in Capernaum, which is by the sea, in the borders of Zebulun and Naphtali:",Kɑ ɑ̀ gɑnɑ Nɑzɑrɛtu kpɑɑrɑ ɑ̀ kpei gɔrɔ Kɑpɛnɑum kpɑɑrɑ kɑ ɑ̀ goono buulɑ mee gɑɑ Zɑbulu lɑɑbu ndɑ Nefitɑli lɑɑbu gɑme.
"that it might be fulfilled which was spoken through Isaiah the prophet, saying,",À kpei nungu di zɑmɑ hɛ kɑ ɑndebi Esɑyi cii mɑ tɔ sɛ. À cii:
"The land of Zebulun and the land of Naphtali, Toward the sea, beyond the Jordan, Galilee of the Gentiles,",Zɑbulu lɑɑbu ndɑ Nefitɑli lɑɑbu goono buulɑ jɛrɛ gɑɑ Yudum bisɑntɛ Gɑlile lɑɑbu dimi cindei gɔrɛ dɔ.
"The people that sat in darkness Saw a great light, And to them that sat in the region and shadow of death, To them did light spring up.","Nge yom kɑ ǹ go gɔrɔ kube kunɑ ǹ di kɑɑri bɑmbɑtɑ fɔ. Beerem mo kɑ ǹ go gɔrɔ bu bicire kunɑ, ǹ sɛ no kɑɑri hunutɛrɛ."
"From that time began Jesus to preach, and to say, Repent ye; for the kingdom of heaven is at hand.",Zɑ sɑɑ di no Yesu sinti kɑ wɑɑzu. À go cii: Wɑ tuubi zɑmɑ bɛɛnɛ kpetɛrɛ mɑɑni.
"And walking by the sea of Galilee, he saw two brethren, Simon who is called Peter, and Andrew his brother, casting a net into the sea; for they were fishers.","Kɑ Yesu go Gɑlile buulɑ gɑnɑ ɑ̀ di cɛɛnɛ ndɑ bɛɛrɛ fɔ, Simɔ kɑ ǹ cii ɑ̀ sɛ Piɛɛ ndɑ ɑ̀ cɛɛnɛ Andɛrɛ. Ǹ go biriji see buulɑ kunɑ zɑmɑ sɔrɔkɔ yom no."
"And he saith unto them, Come ye after me, and I will make you fishers of men.","Cɔfɔ ɑ̀ gɑ cii ǹ sɛ: Wɑ ɑ gɑnɑ. Zɑngɑ sɔrɔkɔ cini ciifi ceeci, ɑ kɑɑ wom tɛ bɔrɔ ceecikɔ yom."
"And they straightway left the nets, and followed him.",Mɑɑsɑ mɑɑsɑ ǹ nɑ ngei biriji yom nɑm kɑ Yesu gɑnɑ.
"And going on from thence he saw two other brethren, James the son of Zebedee, and John his brother, in the boat with Zebedee their father, mending their nets; and he called them.","À bisɑ nungu di kɑ tɔ jinɑ. À di cɛɛnɛ ndɑ bɛɛrɛ fɔ mo kpɛɛnɛ, Yɑkɔfu ndɑ ɑ̀ cɛɛnɛ Yohɑnnɑ, Zɑbɑdi koo yom. Ǹ goono hɑrihi kunɑ ndɑ ǹ bɑɑbɑ Zɑbɑdi. Ǹ go kɑ ngei biriji yom hinsɑ. À nɑ ǹ cɛɛ."
"And they straightway left the boat and their father, and followed him.",Mɑɑsɑ mɑɑsɑ ǹ nɑ ngei bɑɑbɑ ndɑ hɑrihiɑ nɑm kɑ ɑ̀ gɑnɑ.
